business_name,category,address,phone,website,website_domain,emails_found_in_original_scrape,email_source_fields,other_scraped_urls,google_maps_url,place_id,closed_flag
Almaj Galaxie Hotel,,"MRV2+3PW, Nairobi, Kenya",,,,,,"https://www.google.com/travel/lodging/clk?pc=AA80Oswpz72gY7zaCpLI9I_MWa_mb9nHrdrGWqXJuLxcMauYkq90V_Wf5eU58FEz9l0F2z5KnqRstfYsoOrTGbAOn7oZc9EVfoo446b692kHQ_UNak_e62Fml6ZmhA-tDCie2hhXJU6VKOreelzFV6YbgrniuLvNxYOF6TTtWhAFBOBFMNjRPDQZa9TngqQ2dH52&pcurl=https://www.expedia.com/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26MDPCID%3DUS.META.HPA.HOTEL-ORGANIC-desktop.HOTEL%26MDPDTL%3DHTL.105893552.20260919.20260920.DDT.5.CID..AUDID..RRID.bex_us_desktop%26mctc%3D10%26ct%3Dhotel%26mpg%3DUSD%26mpf%3D36.00%26mpj%3D5.49%26mpr%3D0.00%26mpl%3DUSD%26exp_pg%3Dgoogle%26langid%3Den%26ad%3D2%26tp%3D%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_term%3D105893552%26utm_content%3Dmapresults%26utm_campaign%3DHotelAds%26langid%3D1033%26adults%3D2%26children%3D%26rrid%3Dbex_us_desktop%26rateplanid%3D396089779%26mpm%3D24%26mpn%3D324886480%26mpo%3DEC%26mpp%3D1&s=AD1XQnkRTEvzVl2uN7fjo6UW_Tyv | https://www.expedia.com/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&MDPCID=US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.105893552.20260919.20260920.DDT.5.CID..AUDID..RRID.bex_us_desktop&mctc=10&ct=hotel&mpg=USD&mpf=36.00&mpj=5.49&mpr=0.00&mpl=USD&exp_pg=google&langid=en&ad=2&tp=&utm_source=google&utm_medium=cpc&utm_term=105893552&utm_content=mapresults&utm_campaign=HotelAds&langid=1033&adults=2&children=&rrid=bex_us_desktop&rateplanid=396089779&mpm=24&mpn=324886480&mpo=EC&mpp=1 | https://www.google.com/travel/lodging/clk?pc=AA80OsxVxjrygSDImYTuByf_fML7MJRWC2zoL7ojrZWCSFapjoFQMDcWG_L_Mm4xm_eGpxOwkIYMnM30D9FS-Y7N9RNNdSraE_cpdo0YyBS1ZZmQ4OU1w1kBwBCJQ9J-VyfjO8wwO53lo2k7wnDV8CeLxQ50f8VCg8PRUmtHeMcSsbLUZS9Pq7RWqfXE_gws96o&pcurl=https://www.hotels.com/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26mdpcid%3DHCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL%26MDPDTL%3DHTL.105893552.20260919.20260920.DDT.5.CID..AUDID.%26adults%3D2%26children%3D%26mctc%3D10%26mpf%3D36.00%26mpg%3DUSD%26mpl%3DUSD%26mpj%3D5.49%26mpr%3D0.00%26rffrid%3Dsem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.105893552USen-20260919-D-ABW%3D5-camp%3D-aud%3D-N%26rateplanid%3D396089779%26mpm%3D24%26mpn%3D324886480%26mpo%3DEC%26mpp%3D1%26locale%3Den_US%26siteid%3D300000001&s=AD1XQnm9G7cvI14_Nik56yTFduoe | https://www.hotels.com/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.105893552.20260919.20260920.DDT.5.CID..AUDID.&adults=2&children=&mctc=10&mpf=36.00&mpg=USD&mpl=USD&mpj=5.49&mpr=0.00&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd=GGMETA.105893552USen-20260919-D-ABW=5-camp=-aud=-N&rateplanid=396089779&mpm=24&mpn=324886480&mpo=EC&mpp=1&locale=en_US&siteid=300000001 | https://www.google.com/travel/lodging/clk?pc=AA80OszQap6T_atP9Z0Y-vonYOCeUoZw58xdt3w6E2ry0HoRiVHq9Frjg54qgQLTckWsrAgTkF7SHb2a4T7ZrT_eC2GXJST6GqLyW_DoCD-xg2ZY0TlrHKIo02oz9QpmnlqhPGWOWpODikPhdjBPQ7eySlqAZfjsOpKP6hySCiJG_SjwZveVNSFBJqLBiJ9CquFG&pcurl=https://www.travelocity.com/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26adults%3D2%26children%3D%26MDPCID%3Dtravelocity-US.META.HPA.ORGANIC.HOTEL%26MDPDTL%3DHTL.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults%26mpg%3DUSD%26mpf%3D36.00%26mpj%3D5.49%26mpr%3D0.00%26mctc%3D10%26rateplanid%3D396089779%26mpm%3D24%26mpn%3D324886480%26mpo%3DEC%26mpp%3D1&s=AD1XQnmByonKc4L1roEbL7PkZy_d | https://www.travelocity.com/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&adults=2&children=&MDPCID=travelocity-US.META.HPA.ORGANIC.HOTEL&MDPDTL=HTL.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults&mpg=USD&mpf=36.00&mpj=5.49&mpr=0.00&mctc=10&rateplanid=396089779&mpm=24&mpn=324886480&mpo=EC&mpp=1 | https://www.google.com/travel/lodging/clk?pc=AA80OsydQoIMfuhPCH7otWlXshkJ9t4n4X4NchVVf3LRuCEC314VB2WoydA3_vQYaUIuTS_g30P1rxgq7qBFkEsa59_QElPhPBMfsAwn0gdgjyeFPBYvvcpNnHfIokytk_EJJElovEyaNjoGtqAs4EAGQYaHMM9s1GoqvteguzNNQx8UKhpxQkpK50EDKpgkMr8&pcurl=https://www.orbitz.com/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26adults%3D2%26children%3D%26MDPCID%3DORBITZ-US.META.HPA.ORGANIC-desktop.HOTEL%26MDPDTL%3Dhtl.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults%26mpg%3DUSD%26mpf%3D36.00%26mpj%3D5.49%26mpr%3D0.00%26mctc%3D10%26rateplanid%3D396089779%26mpm%3D24%26mpn%3D324886480%26mpo%3DEC%26mpp%3D1&s=AD1XQnm1jp9btZtISoLtEbTXiWSr | https://www.orbitz.com/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&adults=2&children=&MDPCID=ORBITZ-US.META.HPA.ORGANIC-desktop.HOTEL&MDPDTL=htl.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults&mpg=USD&mpf=36.00&mpj=5.49&mpr=0.00&mctc=10&rateplanid=396089779&mpm=24&mpn=324886480&mpo=EC&mpp=1 | https://www.google.com/travel/lodging/clk?pc=AA80OszzuT1XYK4lln6f7qew-Ndt6Kd476Ww56gCEjl6TO33JadfyfnE8CSjBvOagOWxw2LeQUG1wNlQGpFPHXy0_GHiUsuka9YQ-RNqduwqfmu2Xh0oD1TvFjLO4LMJv5N_dSLdq-VPQYADH7P3TEtbj_ZXVJCtl8eQhZNbBkBYstOO_pQo_YI&pcurl=https://deals.etrip.net/?sig%3De9cc68956712e1e5d60f579a67e54afadd83f5d631dc9782cc50d47864de2f2c2d32303330363031313335%26turl%3Dhttps%253A%252F%252Fsearch.etrip.net%252FHotel%252FSearch%253FcheckIn%253D2026-09-19%2526checkOut%253D2026-09-20%2526currency%253DUSD%2526forceCurrencyChange%253D1%2526lang%253Den%2526forceLanguageChange%253D1%2526rooms%253D2%253A%2526utm_source%253Dgha%2526utm_medium%253Dcpc%2526hotelId%253D120005775%2526userCountry%253DUS%2526profile%253Dr2d2m73kn8%2526preferredRate%253D36.00%2526label%253Dsrc%25253Dgha%252526cltype%25253Dhotel%252526datype%25253Ddefault%252526gsite%25253Dmapresults%252526vf%25253D0%252526ucountry%25253DUS%252526udevice%25253Ddesktop%252526hotel%25253D120005775%252526day%25253D19%252526month%25253D09%252526year%25253D2026%252526los%25253D1%252526price%25253D36.00%252526currency%25253DUSD%252526cid%25253D%252526listid%25253D%252526rateid%25253DUS_D%252526closerateid%25253D%252526promo%25253D0%252526isPrivateRate%25253D0%252526isAudienceUser%25253D0%252526isPaidClick%25253D0%252526%2526cp%253DgWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY&s=AD1XQnlbF3KaTjE2pBjLaXsKtOYN | https://deals.etrip.net/?sig=e9cc68956712e1e5d60f579a67e54afadd83f5d631dc9782cc50d47864de2f2c2d32303330363031313335&turl=https://search.etrip.net/Hotel/Search?checkIn=2026-09-19&checkOut=2026-09-20&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=120005775&userCountry=US&profile=r2d2m73kn8&preferredRate=36.00&label=src%3Dgha%26cltype%3Dhotel%26datype%3Ddefault%26gsite%3Dmapresults%26vf%3D0%26ucountry%3DUS%26udevice%3Ddesktop%26hotel%3D120005775%26day%3D19%26month%3D09%26year%3D2026%26los%3D1%26price%3D36.00%26currency%3DUSD%26cid%3D%26listid%3D%26rateid%3DUS_D%26closerateid%3D%26promo%3D0%26isPrivateRate%3D0%26isAudienceUser%3D0%26isPaidClick%3D0%26&cp=gWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY | https://www.google.com/travel/lodging/clk?pc=AA80OsxAVeJIUIW6dH0L2qdXTNxAXkOZTcKyQWrhhmLC-wTYfThsoskDs1fqpRcRIGeJxsSncuL3MyVSEcSj07wS8umaKmtOvZutBiTgMA6gyXX3KRyW7D_pYXIoGlkLbyqP9nPjfnhkKLqQMD8IaTPUdaQEmCZowz0h-p7S6x3Ykgrz9sd7eiyRPxbZROUrw6LZ3zT7TtM&pcurl=https://www.cheaptickets.com/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26MDPCID%3DCHEAPTICKETS-US.META.HPA.ORGANIC-desktop.HOTEL%26langid%3D1033%26adults%3D2%26children%3D%26MDPDTL%3Dhtl.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults%26mpg%3DUSD%26mpf%3D36.00%26mpj%3D5.49%26mpr%3D0.00%26mctc%3D10%26rateplanid%3D396089779%26rateplanid%3D396089779%26mpm%3D24%26mpn%3D324886480%26mpo%3DEC%26mpp%3D1&s=AD1XQnm-SSxZfmUOylKGagNjuud4 | https://www.cheaptickets.com/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&MDPCID=CHEAPTICKETS-US.META.HPA.ORGANIC-desktop.HOTEL&langid=1033&adults=2&children=&MDPDTL=htl.105893552.20260919.20260920.DDT.5.CID..AUDID..mapresults&mpg=USD&mpf=36.00&mpj=5.49&mpr=0.00&mctc=10&rateplanid=396089779&rateplanid=396089779&mpm=24&mpn=324886480&mpo=EC&mpp=1 | https://www.google.com/travel/lodging/clk?pc=AA80Osy2LfMoSzrstk4liNUc3C55--R9Pz0oqr3gSa_dQMrzWNRlnh6UySSLP1CaxlL94ofA4txMVwmU1Nvp9YcwwyiuNwW-XFocbo3rL1T2mHIS0KGwyW2r_AWz2lSB0z5xbDo52t27Nn2rhvS-65qN6TRYSpJ5q9Ipfz45UUmxKkStWSmB1O0z&pcurl=https://accommodation.edreams.net/Hotel-Search?selected%3D105893552%26startDate%3D2026-09-19%26endDate%3D2026-09-20%26adults%3D2%26children%3D%26mpf%3D36.00%26cur%3DUSD%26mpj%3D5.49%26MDPCID%3DeDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL%26mpl%3DUSD%26numberOfRooms%3D1%26locale%3Den_US%26rffrid%3Dh4p.hcom.US.ghaodigeo.000.000.kwrd%3D%26pos%3DEDREAMS_US%26rateplanid%3D396089779%26mctc%3D10%26utm_medium%3Dmetasearch%26utm_campaign%3D3389593664%26utm_term%3Dhotel%26utm_source%3DFREEBOOKING&s=AD1XQnmkj8oiAGov1RZvOE7jf8el | https://accommodation.edreams.net/Hotel-Search?selected=105893552&startDate=2026-09-19&endDate=2026-09-20&adults=2&children=&mpf=36.00&cur=USD&mpj=5.49&MDPCID=eDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL&mpl=USD&numberOfRooms=1&locale=en_US&rffrid=h4p.hcom.US.ghaodigeo.000.000.kwrd=&pos=EDREAMS_US&rateplanid=396089779&mctc=10&utm_medium=metasearch&utm_campaign=3389593664&utm_term=hotel&utm_source=FREEBOOKING | https://www.google.com/travel/lodging/clk?pc=AA80OszkkPwcsTGembIAw2Y106fShT8kwEoVaj7KxExeg0IxmQ8HrZx-8gxR6v4wtIDvYM0KsFc8HlSabHEvg7gO8juOVEQY4pqQ109Ivk1qL0NAI98xu2hClpjw3G6I3hwrmHxCqVEt7Jh-GKACzJVAMimKXK0_m8SbfjWr3Qq5865aYLe3O2-Ue8HWy5UHzfM0Ww&pcurl=https://deals.goseek.com/?sig%3D34c47a49c3e8320dca5a5dda0da2a460c1bc23afde972e2894a4ff0b6052fb53383131303836353931%26turl%3Dhttps%253A%252F%252Fwww.goseek.com%252FHotel%252FSearch%253FcheckIn%253D2026-09-19%2526checkOut%253D2026-09-20%2526currency%253DUSD%2526forceCurrencyChange%253D1%2526lang%253Den%2526forceLanguageChange%253D1%2526rooms%253D2%253A%2526utm_source%253Dgha%2526utm_medium%253Dcpc%2526hotelId%253D120005775%2526userCountry%253DUS%2526profile%253Dr2d2m73kn8%2526preferredRate%253D36.00%2526deviceType%253Ddesktop%2526label%253Dsrc%25253Dgha%252526cltype%25253Dhotel%252526datype%25253Ddefault%252526gsite%25253Dmapresults%252526vf%25253D0%252526ucountry%25253DUS%252526udevice%25253Ddesktop%252526hotel%25253D120005775%252526day%25253D19%252526month%25253D09%252526year%25253D2026%252526los%25253D1%252526price%25253D36.00%252526currency%25253DUSD%252526cid%25253D%252526listid%25253D%252526rateid%25253DUS_D%252526closerateid%25253D%252526promo%25253D0%252526isPrivateRate%25253D0%252526isAudienceUser%25253D0%252526isPaidClick%25253D0%252526%2526cp%253DgWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY&s=AD1XQnl50V_djtORM7sq80S17Wqi | https://deals.goseek.com/?sig=34c47a49c3e8320dca5a5dda0da2a460c1bc23afde972e2894a4ff0b6052fb53383131303836353931&turl=https://www.goseek.com/Hotel/Search?checkIn=2026-09-19&checkOut=2026-09-20&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=120005775&userCountry=US&profile=r2d2m73kn8&preferredRate=36.00&deviceType=desktop&label=src%3Dgha%26cltype%3Dhotel%26datype%3Ddefault%26gsite%3Dmapresults%26vf%3D0%26ucountry%3DUS%26udevice%3Ddesktop%26hotel%3D120005775%26day%3D19%26month%3D09%26year%3D2026%26los%3D1%26price%3D36.00%26currency%3DUSD%26cid%3D%26listid%3D%26rateid%3DUS_D%26closerateid%3D%26promo%3D0%26isPrivateRate%3D0%26isAudienceUser%3D0%26isPaidClick%3D0%26&cp=gWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY | https://www.google.com/travel/lodging/clk?pc=AA80OswGP4xnvnB4XQN1kcebk0prVHUEWTM9gxtrHUUMDJ9sU2kjH_wL-7-CF-XkZGxdWR0D_K2-koxO4petezRKtSE__DRxk5hY4RWB1b8r8myU7FvXpa8Is0fPC7VFd02uC5yLC-CJo22C1zLs2ZTh0s_ufskVDmZooy2AQpuOJqsIRXBqL_3fS9AZ&pcurl=https://deals.vio.com/?sig%3D73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233%26turl%3Dhttps%253A%252F%252Fwww.vio.com%252FHotel%252FSearch%253FcheckIn%253D2026-09-19%2526checkOut%253D2026-09-20%2526currency%253DUSD%2526forceCurrencyChange%253D1%2526lang%253Den%2526forceLanguageChange%253D1%2526rooms%253D2%253A%2526utm_source%253Dgha%2526utm_medium%253Dcpc%2526hotelId%253D120005775%2526userCountry%253DUS%2526profile%253Dr2d2m73kn8%2526preferredRate%253D36.00%2526deviceType%253Ddesktop%2526label%253Dsrc%25253Dgha%252526cltype%25253Dhotel%252526datype%25253Ddefault%252526gsite%25253Dmapresults%252526vf%25253D0%252526ucountry%25253DUS%252526udevice%25253Ddesktop%252526hotel%25253D120005775%252526day%25253D19%252526month%25253D09%252526year%25253D2026%252526los%25253D1%252526price%25253D36.00%252526currency%25253DUSD%252526cid%25253D%252526listid%25253D%252526rateid%25253DUS_D%252526closerateid%25253D%252526promo%25253D0%252526isPrivateRate%25253D0%252526isAudienceUser%25253D0%252526isPaidClick%25253D0%252526%2526cp%253DgWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY&s=AD1XQnmrqgOJYkBLUynwRnYwKiM6 | https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https://www.vio.com/Hotel/Search?checkIn=2026-09-19&checkOut=2026-09-20&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=120005775&userCountry=US&profile=r2d2m73kn8&preferredRate=36.00&deviceType=desktop&label=src%3Dgha%26cltype%3Dhotel%26datype%3Ddefault%26gsite%3Dmapresults%26vf%3D0%26ucountry%3DUS%26udevice%3Ddesktop%26hotel%3D120005775%26day%3D19%26month%3D09%26year%3D2026%26los%3D1%26price%3D36.00%26currency%3DUSD%26cid%3D%26listid%3D%26rateid%3DUS_D%26closerateid%3D%26promo%3D0%26isPrivateRate%3D0%26isAudienceUser%3D0%26isPaidClick%3D0%26&cp=gWBCYpgJ_5EnQiFpChQI6xcYpQQiA1VTRCjwo7XVBlIBMhIaFfXOkOQaC1pDUTBKa2lnN1ljKAMw3f2d1QY | https://www.google.com/maps/search/?api=1&query=Almaj%20Galaxie%20Hotel&query_place_id=ChIJU9Nq4RERLxgRE5KXq0mf8os | https://www.google.com/maps/search/Hotel/@-1.3135946628330823,36.81664691653427,16z?hl=en",https://www.google.com/maps/search/?api=1&query=Almaj%20Galaxie%20Hotel&query_place_id=ChIJU9Nq4RERLxgRE5KXq0mf8os,ChIJU9Nq4RERLxgRE5KXq0mf8os,False
Appetit F&B Restaurant,African restaurant,"Nairobi Water Road Woodley/Kenyatta Golf Course, Kenya",+254 722 331869,,,,,"https://www.google.com/maps/search/?api=1&query=Appetit%20F%26B%20Restaurant&query_place_id=ChIJXxgYeGsbLxgR41N5CzvmD8w | https://www.google.com/maps/search/restaurant/@-1.3135946628330823,36.76508901669314,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L8iMwiv9B0Ecl2MDU0WoNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=267.8637&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Appetit%20F%26B%20Restaurant&query_place_id=ChIJXxgYeGsbLxgR41N5CzvmD8w,ChIJXxgYeGsbLxgR41N5CzvmD8w,False
Bel's Joint,African restaurant,"Shop No. 106, Tidy Centre, Ngong Rd, Nairobi, Kenya",+254 713 278388,,,,,"https://www.google.com/maps/search/?api=1&query=Bel | https://www.google.com/maps/search/restaurant/@-1.30206825,36.7531745,17.002330554175863z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aLDpwGLJzCwZDT8xgBHEIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.06319&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Bel's%20Joint&query_place_id=ChIJBXBCF0EaLxgRT6kNjrU-Dwo,ChIJBXBCF0EaLxgRT6kNjrU-Dwo,False
Blue Bell Restaurant Bar,African restaurant,"PQ3M+G94, Off Menelik Road, Muringa Rd, Nairobi, Kenya",+254 722 575445,,,,,"https://www.google.com/maps/search/?api=1&query=Blue%20Bell%20Restaurant%20Bar&query_place_id=ChIJHVKyjp8QLxgRFDnHhoVQIcs | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://lh3.googleusercontent.com/gps-proxy/ALd4DhHZMHAE9agZcxTey5A3yDEHHGVzabxmZMkw6aqYjBs8v8oxT2cHmVGPJ18YDCudDU9YB4GCivmn70cYmCd4oY-2WlUXcPSallFZIepR0wPJBv-MbbrUimakjg2RSnIm-OmGqcE2v7ynkr3SUndC4I__hMW9NGb4QI0giQwQfgiNIcaYH9E4iWLsMTusNBcUAztt8fs=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Blue%20Bell%20Restaurant%20Bar&query_place_id=ChIJHVKyjp8QLxgRFDnHhoVQIcs,ChIJHVKyjp8QLxgRFDnHhoVQIcs,False
Caterers Restaurant,African restaurant,"PQ5P+J98, Off Lenana Road, Wood Ave, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Caterers%20Restaurant&query_place_id=ChIJh80OwKYQLxgRLB7EitFGWw8 | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hHwFcjH4X0U5D6yoQIaGAg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.97229&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Caterers%20Restaurant&query_place_id=ChIJh80OwKYQLxgRLB7EitFGWw8,ChIJh80OwKYQLxgRLB7EitFGWw8,False
Central Park Restaurant,African restaurant,"PQ4P+RQJ, Global Centre, Yaya Centre, Argwings Kodhek Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Central%20Park%20Restaurant&query_place_id=ChIJMeVvZ6EQLxgRflgBrbwM0d4 | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnBCf2h6PFjYz9b2y_IwEyDKODnYKLK6QWi8OnmebdM_ZvQfFB1Bc9q-tmX7QhYZFS4jcWlXoGyBa9lGGzdf2JQs3bmCjK22TKUa5x7wBmcA0KwoT4TeXa3njXLLt19N2S-fDI4=w408-h544-k-no",https://www.google.com/maps/search/?api=1&query=Central%20Park%20Restaurant&query_place_id=ChIJMeVvZ6EQLxgRflgBrbwM0d4,ChIJMeVvZ6EQLxgRflgBrbwM0d4,False
Galz Restaurant,African restaurant,"PQ4P+MFP, Ground Floor, Njemna House, Wood Ave, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Galz%20Restaurant&query_place_id=ChIJC5u9baEQLxgRE-SE36a7q3s | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x3AawN26InBkZwkcaOtL7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=77.2787&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Galz%20Restaurant&query_place_id=ChIJC5u9baEQLxgRE-SE36a7q3s,ChIJC5u9baEQLxgRE-SE36a7q3s,False
Grand and Epic Hotel,African restaurant,"senior's park naivasha road Kabiro Dagoreti North, Kenya",+254 727 059548,,,,,"https://www.google.com/maps/search/?api=1&query=Grand%20and%20Epic%20Hotel&query_place_id=ChIJm3axZ8MbLxgRSSIgPvccHQk | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.73071708346572,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CQQU-jFuKsWFgvGS6puksg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=167.22003&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Grand%20and%20Epic%20Hotel&query_place_id=ChIJm3axZ8MbLxgRSSIgPvccHQk,ChIJm3axZ8MbLxgRSSIgPvccHQk,False
Green Rose Restaurant,African restaurant,"Nairobi, Kenya",+254 722 310850,,,,,"https://www.google.com/maps/search/?api=1&query=Green%20Rose%20Restaurant&query_place_id=ChIJidAwjbIRLxgRgU3VlIAudio | https://www.google.com/maps/search/restaurant/@-1.3307757371669178,36.81664691653427,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlP5Q5uZB2_MdcDQ8sIvfyGT1KxtEYTPzGaTn-IG8okUJsm_HWkiVUbeIEnJX1klXyf-dVkD21EjWOfeIbTDoBc8uXCd1SFmYMeYN1zYUQRxf1A9qVcqRK61Pr9h0PLmEG5z2Ek=w408-h905-k-no",https://www.google.com/maps/search/?api=1&query=Green%20Rose%20Restaurant&query_place_id=ChIJidAwjbIRLxgRgU3VlIAudio,ChIJidAwjbIRLxgRgU3VlIAudio,False
Hadasah Bar & Restaurant,African restaurant,"Hadassah Hotel, Ralph Bunche Rd, North, Kenya",+254 720 587829,,,,,"https://www.google.com/maps/search/?api=1&query=Hadasah%20Bar%20%26%20Restaurant&query_place_id=ChIJr-6qf3oRLxgRdxwn_ctzAjc | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.79946094992056,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnFxoGaAruTIzdK7HUjfZUz70K9YKc_QZRIL6H5XV3_Z4HPk-wbwePzbIyXycoEMBH1BkPsIKamx6HIZrqaa1H8hxoqWUm126yT5w5o0bC6DniKJWnQOGCRwX4spoA0dRiCFZiE6w=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Hadasah%20Bar%20%26%20Restaurant&query_place_id=ChIJr-6qf3oRLxgRdxwn_ctzAjc,ChIJr-6qf3oRLxgRdxwn_ctzAjc,False
